open time,open,high,low,close,volume,close time,quote asset volume,number of trades,tb base volume,tb quote volume,ignore
2023-03-27,27998.36,28052.57,26550.0,27143.29,27634.35134,2023-03-27 23:59:59.999000064,757424855.5144694,405828,13401.60943,367266735.61355823,0
2023-03-28,27143.3,27517.95,26641.67,27272.85,28225.64806,2023-03-28 23:59:59.999000064,763299772.4593377,370225,13924.77712,376610229.95885915,0
2023-03-29,27272.86,28655.54,27251.04,28354.86,30040.74555,2023-03-29 23:59:59.999000064,846246665.6317348,395588,15212.4654,428566269.155002,0
2023-03-30,28354.86,29188.0,27692.08,28042.94,28878.72116,2023-03-30 23:59:59.999000064,820133458.3551056,439804,14484.33496,411460278.4304375,0
2023-03-31,28042.94,28674.4,27521.18,28474.61,22041.65413,2023-03-31 23:59:59.999000064,621889355.4900937,335117,10904.50877,307693508.18308353,0
2023-04-01,28474.62,28823.92,28242.69,28474.19,6842.17122,2023-04-01 23:59:59.999000064,194949265.80889967,174599,3405.48781,97025749.559072,0
2023-04-02,28474.2,28550.0,27875.99,28191.12,8277.3644,2023-04-02 23:59:59.999000064,233509554.70528433,192587,3965.96366,111900858.6212512,0
2023-04-03,28192.18,28532.71,27240.0,27817.02,18732.34632,2023-04-03 23:59:59.999000064,524412759.5056956,391325,9102.75803,254801693.2873144,0
2023-04-04,27817.02,28449.99,27679.21,28178.94,11476.5208,2023-04-04 23:59:59.999000064,322524446.0545951,269381,5818.46203,163504677.6352894,0
2023-04-05,28178.94,28786.04,27819.52,28184.82,13706.30933,2023-04-05 23:59:59.999000064,388516427.1184981,335072,6826.34267,193521153.1071338,0
2023-04-06,28184.76,28194.0,27720.0,28047.0,8664.2122,2023-04-06 23:59:59.999000064,242514858.156743,230832,4389.74041,122869823.1430975,0
2023-04-07,28047.0,28114.68,27785.18,27927.14,4818.15341,2023-04-07 23:59:59.999000064,134586471.6382887,148808,2353.84586,65749619.2950581,0
2023-04-08,27927.13,28175.0,27880.52,27958.2,4216.75541,2023-04-08 23:59:59.999000064,118093883.1663251,168388,1984.64529,55581341.7310675,0
2023-04-09,27958.2,28546.39,27813.16,28342.46,6307.37809,2023-04-09 23:59:59.999000064,177332022.9381881,194149,3113.31545,87548035.9580556,0
2023-04-10,28342.47,29791.03,28180.13,29656.63,13765.96977,2023-04-10 23:59:59.999000064,398135717.9675803,333227,7061.644,204342285.086012,0
2023-04-11,29656.64,30575.0,29612.79,30221.26,14508.19688,2023-04-11 23:59:59.999000064,436876122.4341567,340694,7345.65542,221174145.87905872,0
2023-04-12,30221.27,30499.0,29655.0,29904.55,11329.65162,2023-04-12 23:59:59.999000064,340393815.6407885,300890,5580.10075,167663525.0734789,0
2023-04-13,29904.54,30600.28,29875.79,30383.66,9863.26288,2023-04-13 23:59:59.999000064,298384825.8804261,228989,4840.8874,146468041.6169949,0
2023-04-14,30383.66,31037.84,29990.31,30473.9,13906.23459,2023-04-14 23:59:59.999000064,424978519.3989771,329980,6920.07118,211545210.64173192,0
2023-04-15,30473.9,30602.74,30220.24,30306.63,5798.80127,2023-04-15 23:59:59.999000064,176147214.7807154,176423,2644.28986,80327981.8658783,0
2023-04-16,30306.63,30552.98,30130.83,30311.38,6062.23219,2023-04-16 23:59:59.999000064,183806046.39720127,186826,2904.33914,88072170.2569155,0
2023-04-17,30308.78,30323.97,29255.0,29444.05,11156.01334,2023-04-17 23:59:59.999000064,331065467.0868864,264420,5282.18074,156734908.5454166,0
2023-04-18,29444.05,30493.99,29112.34,30385.23,12514.09128,2023-04-18 23:59:59.999000064,375734606.5820219,265293,6394.36415,191979455.6328866,0
2023-04-19,30385.23,30413.23,28594.0,28813.84,18262.58725,2023-04-19 23:59:59.999000064,536534059.62544495,408326,8795.36902,258465952.996259,0
2023-04-20,28813.83,29099.9,28008.56,28251.03,12868.26126,2023-04-20 23:59:59.999000064,368270974.2022165,293114,6244.96085,178751107.3234183,0
2023-04-21,28251.02,28377.62,27821.0,28067.07,7935.31361,2023-04-21 23:59:59.999000064,223038831.6998064,153690,4070.47644,114400147.5981997,0
